,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,80,MV,1544673588,100,-0.6,73.08,80.15,9.42
1,rikitea,92,PF,1544673588,100,-23.12,-134.97,73.76,10.65
2,ushuaia,90,AR,1544670000,76,-54.81,-68.31,50,3.36
3,cururupu,92,BR,1544673589,92,-1.82,-44.87,77,4.72
4,qaanaaq,80,GL,1544673589,97,77.48,-69.36,6.44,3.04
5,lagoa,75,PT,1544670000,88,37.14,-8.45,62.6,17.22
6,attawapiskat,,,,,,,,
7,bredasdorp,56,ZA,1544670000,82,-34.53,20.04,55.4,4.7
8,mocuba,92,MZ,1544673590,99,-16.84,36.99,72.23,3.71
9,belushya guba,,,,,,,,
10,quthing,0,LS,1544673591,81,-30.4,27.7,42.58,0.58
11,sentyabrskiy,,,,,,,,
12,longyearbyen,90,NO,1544669400,94,78.22,15.63,35.6,21.92
13,praya,75,ID,1544671800,66,-8.71,116.27,87.8,9.17
14,evensk,36,RU,1544673592,100,61.92,159.24,-7.69,6.73
15,atuona,68,PF,1544673592,100,-9.8,-139.03,81.59,15.23
16,punta arenas,90,CL,1544670000,76,-53.16,-70.91,51.8,9.17
17,busselton,0,AU,1544673593,74,-33.64,115.35,75.07,8.63
18,owando,36,CG,1544673593,97,-0.49,15.91,69.58,2.59
19,makakilo city,75,US,1544671440,100,21.35,-158.09,78.08,6.93
20,rogers,90,US,1544672100,87,36.33,-94.12,51.98,12.75
21,hermanus,20,ZA,1544673594,94,-34.42,19.24,47.48,2.37
22,jamestown,76,AU,1544673595,67,-33.21,138.6,57.79,20.49
23,port alfred,76,ZA,1544673595,97,-33.59,26.89,65.03,10.87
24,batagay-alyta,0,RU,1544673595,15,67.8,130.41,-41.04,2.71
25,kikwit,20,CD,1544673596,96,-5.04,18.82,70.39,4.05
26,hobart,75,AU,1544671800,56,-42.88,147.33,73.4,21.92
27,saint anthony,1,US,1544669760,77,43.97,-111.68,24.08,8.05
28,mataura,0,NZ,1544673596,56,-46.19,168.86,73.81,11.65
29,lakatoro,64,VU,1544673597,78,-16.11,167.42,83.44,5.28
30,saint george,75,GR,1544671200,74,39.45,22.34,37.4,4.7
31,cabo san lucas,5,MX,1544669340,72,22.89,-109.91,68,13.87
32,kapaa,90,US,1544669760,64,22.08,-159.32,78.98,23.04
33,saleaula,,,,,,,,
34,taolanaro,,,,,,,,
35,saint-pierre,0,FR,1544671800,100,48.95,4.24,33.8,11.41
36,kolga,90,EE,1544673000,91,59.49,25.62,33.8,10.29
37,amapa,90,HN,1544670000,88,15.09,-87.97,69.8,3.36
38,airai,68,TL,1544673600,82,-8.93,125.41,80.06,2.15
39,butaritari,68,KI,1544673600,100,3.07,172.79,85.42,15.46
40,gizo,40,IL,1544673000,63,31.8,34.94,62.6,4.7
41,sitangkai,64,PH,1544673601,99,4.66,119.39,83.89,8.19
42,provideniya,90,RU,1544670000,78,64.42,-173.23,10.4,8.95
43,vaini,0,IN,1544670000,68,15.34,74.49,69.8,2.24
44,georgetown,20,GY,1544670000,100,6.8,-58.16,73.4,4.7
45,albany,20,US,1544671080,58,42.65,-73.75,21.02,9.17
46,te anau,56,NZ,1544673605,70,-45.41,167.72,66.16,3.6
47,adrar,0,DZ,1544672440,77,27.87,-0.29,39.07,2.93
48,mbuguni,40,TZ,1544670000,94,-3.55,36.92,69.8,3.04
49,torbay,90,CA,1544673060,86,47.66,-52.73,26.6,16.11
50,ngukurr,,,,,,,,
